Southern Islands,649.67
Marina South,419.0
Bukit Panjang,409.45
Jurong East,182.26
Downtown Core,163.5
Singapore River,153.96
Orchard,144.76
Toa Payoh,142.78
Bishan,138.92
Outram,135.27
